symptoms,condition,specialization
"Fever, Cough, Sore Throat, Runny Nose","Common Cold","General Practice"
"Fever, Cough, Shortness of Breath, Chest Pain","Pneumonia","Pulmonology"
"Shortness of Breath, Palpitations, High Blood Pressure","Hypertension","Cardiology"
"Chest Pain, Palpitations, Dizziness, Fatigue","Angina","Cardiology"
"Abdominal Pain, Nausea, Vomiting, Diarrhea","Gastroenteritis","Gastroenterology"
"Fever, Neck Stiffness, Severe Headache, Confusion","Meningitis","Neurology"
"Frequent Urination, Excessive Thirst, Fatigue, Weight Loss","Diabetes","Endocrinology"
"Joint Pain, Swelling, Stiffness, Fatigue","Rheumatoid Arthritis","Rheumatology"
"Fever, Chills, Severe Headache, Body Aches","Influenza","General Practice"
"Shortness of Breath, Wheezing, Chest Tightness, Cough","Asthma","Pulmonology"
"Itching, Redness, Skin Rash, Hives","Atopic Dermatitis","Dermatology"
"Tremors, Slow Movement, Rigidity, Memory Loss","Parkinson's Disease","Neurology"
"Memory Loss, Confusion, Disorientation, Behavioral Changes","Alzheimer's Disease","Neurology"
"Excessive Thirst, Frequent Urination, Blurred Vision","Type 2 Diabetes","Endocrinology"
"Severe Headache, Nausea, Sensitivity to Light, Vomiting","Migraine","Neurology"
"Fatigue, Weakness, Weight Gain, Cold Intolerance","Hypothyroidism","Endocrinology"
"Weight Loss, Fatigue, Heat Intolerance, Rapid Heartbeat","Hyperthyroidism","Endocrinology"
"Persistent Cough, Chest Pain, Blood in Sputum, Fatigue","Tuberculosis","Pulmonology"
"Itching, Skin Peeling, Redness, Burning Sensation","Psoriasis","Dermatology"
"Fever, Swollen Lymph Nodes, Night Sweats, Weight Loss","Lymphoma","Oncology"
"Severe Abdominal Pain, Fever, Vomiting, Diarrhea","Appendicitis","Surgery"
"Severe Lower Back Pain, Numbness, Weakness in Legs","Herniated Disc","Orthopedics"
"Joint Pain, Swelling, Limited Range of Motion, Stiffness","Osteoarthritis","Orthopedics"
"Blurred Vision, Eye Pain, Redness, Halo around Lights","Glaucoma","Ophthalmology"
"Blurred Vision, Difficulty Reading, Presbyopia","Presbyopia","Ophthalmology"
"Recurrent Sinusitis, Nasal Congestion, Facial Pain, Headache","Chronic Sinusitis","ENT"
"Hearing Loss, Tinnitus, Vertigo, Balance Issues","Meniere's Disease","ENT"
"Sudden Hearing Loss, Ear Pain, Fever, Dizziness","Otitis Media","ENT"
"Sore Throat, Difficulty Swallowing, Fever, Swollen Glands","Pharyngitis","ENT"
"Persistent Cough, Wheezing, Recurrent Infections, Fatigue","Chronic Obstructive Pulmonary Disease","Pulmonology"
"Insomnia, Daytime Somnolence, Loud Snoring, Breathing Pauses","Sleep Apnea","Sleep Medicine"
"Difficulty Falling Asleep, Early Morning Awakening, Fatigue","Insomnia","Psychiatry"
"Persistent Sadness, Loss of Interest, Fatigue, Sleep Changes","Major Depression","Psychiatry"
"Excessive Worry, Restlessness, Difficulty Concentrating, Irritability","Generalized Anxiety Disorder","Psychiatry"
"Panic Attacks, Chest Pain, Shortness of Breath, Fear","Panic Disorder","Psychiatry"
"Intrusive Thoughts, Compulsive Behaviors, Anxiety, Avoidance","Obsessive-Compulsive Disorder","Psychiatry"
"High Fever, Severe Cough, Chest Pain, Difficulty Breathing","Bronchitis","Pulmonology"
"Swollen Lymph Nodes, Sore Throat, Fatigue, Fever","Infectious Mononucleosis","General Practice"
"Abdominal Swelling, Yellowing of Skin, Fatigue, Dark Urine","Cirrhosis","Gastroenterology"
"Severe Headache, Seizures, Fever, Confusion, Neck Stiffness","Encephalitis","Neurology"
"Numbness, Tingling, Muscle Weakness, Difficulty Walking","Multiple Sclerosis","Neurology"
"Tremors, Muscle Stiffness, Difficulty Swallowing, Speech Changes","Amyotrophic Lateral Sclerosis","Neurology"
"Sudden Weakness, Facial Droop, Speech Difficulty, Confusion","Stroke","Neurology"
"Chest Pain, Shortness of Breath, Nausea, Sweating","Myocardial Infarction","Cardiology"
"Swelling in Legs, Shortness of Breath, Fatigue, Chest Pain","Heart Failure","Cardiology"
"Fever, Joint Pain, Rash, Arthritis after Tick Bite","Lyme Disease","Infectious Diseases"
"Fever, Rash, Muscle Aches, Headache","Dengue Fever","Infectious Diseases"
"Fever, Severe Body Aches, Cough, Fatigue","Coronavirus Disease 2019","Infectious Diseases"
"Hematuria, Flank Pain, Nausea, Vomiting","Kidney Stones","Urology"
"Dysuria, Urinary Frequency, Urgency, Suprapubic Pain","Urinary Tract Infection","Urology"
"Benign Prostate Hyperplasia, Weak Urinary Stream, Nocturia","Benign Prostatic Hyperplasia","Urology"
"Erectile Dysfunction, Low Libido, Fatigue","Erectile Dysfunction","Urology"
"Severe Abdominal Pain, Fever, Jaundice, Yellowing","Acute Pancreatitis","Gastroenterology"
"Chronic Abdominal Pain, Weight Loss, Steatorrhea, Malabsorption","Chronic Pancreatitis","Gastroenterology"
"Bleeding Gums, Loose Teeth, Bad Breath, Tooth Pain","Periodontitis","Dentistry"
