symptoms,condition,specialization
"Fever, Cough, Sore Throat, Fatigue","Common Cold",General Practice
"Fever, Cough, Shortness of Breath, Chest Pain","Pneumonia",Pulmonology
"Headache, Runny Nose, Sneezing, Itchy Eyes","Allergies",Allergist
"Abdominal Pain, Nausea, Vomiting, Diarrhea","Gastroenteritis",Gastroenterology
"Chest Pain, Shortness of Breath, Palpitations","Heart Arrhythmia",Cardiology
"High Blood Pressure, Headache, Dizziness","Hypertension",Cardiology
"Joint Pain, Swelling, Stiffness, Fatigue","Arthritis",Rheumatology
"Frequent Urination, Excessive Thirst, Fatigue","Type 2 Diabetes",Endocrinology
"Persistent Headache, Neck Stiffness, Fever","Migraine",Neurology
"Skin Rash, Itching, Redness, Irritation","Dermatitis",Dermatology
"Fever, Sore Throat, Swollen Lymph Nodes, Cough","Strep Throat",General Practice
"Persistent Dry Cough, Fever, Night Sweats","Tuberculosis",Pulmonology
"Abdominal Pain, Bloating, Constipation, Loss of Appetite","Irritable Bowel Syndrome",Gastroenterology
"Tremors, Stiffness, Slow Movement, Balance Problems","Parkinson's Disease",Neurology
"Memory Loss, Confusion, Disorientation, Depression","Alzheimer's Disease",Neurology
"Severe Headache, Vision Problems, Weakness, Numbness","Stroke",Neurology
"Wheezing, Shortness of Breath, Coughing, Chest Tightness","Asthma",Pulmonology
"Anxiety, Panic Attacks, Rapid Heartbeat, Sweating","Anxiety Disorder",Psychiatry
"Persistent Sadness, Loss of Interest, Fatigue, Sleep Issues","Depression",Psychiatry
"Red Eyes, Itching, Discharge, Light Sensitivity","Conjunctivitis",Ophthalmology
"Ear Pain, Hearing Loss, Discharge, Fever","Otitis Media",Otolaryngology
"Sore Throat, Hoarseness, Cough, Difficulty Swallowing","Laryngitis",Otolaryngology
"Back Pain, Stiffness, Muscle Weakness, Numbness","Herniated Disc",Orthopedic Surgery
"Knee Pain, Swelling, Limited Mobility, Clicking Sound","Meniscal Tear",Orthopedic Surgery
"Fever, Muscle Aches, Cough, Congestion","Influenza",General Practice
"Fatigue, Shortness of Breath, Dizziness, Pale Skin","Anemia",Hematology
"Pain During Intercourse, Irregular Periods, Pelvic Pain","Endometriosis",Gynecology
"Difficulty Concentrating, Hyperactivity, Impulsiveness, Restlessness","ADHD",Psychiatry
"Severe Migraine, Nausea, Vision Disturbances, Sensitivity to Light","Migraine Headache",Neurology
"Swollen Gums, Tooth Pain, Bad Breath, Loose Teeth","Periodontitis",Dentistry
